t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.016802,1,0.423,-8.451,-9.167,0.006003,0.014954,0.166375
0.033603,2,-5.442,12.386,-45.064,-0.174798,-0.023269,-0.276712
0.050405,3,4.794,-6.079,-9.149,0.080232,-0.014395,0.107315
0.067206,4,8.941,15.414,-46.298,0.119416,0.001159,-0.385995
0.084007,5,-9.347,-11.677,-41.746,-0.208018,0.017417,0.198361
0.100809,6,3.653,13.21,-8.445,0.020661,-0.001085,-0.300377
0.11761,7,3.285,13.041,-10.28,0.013515,-0.003047,-0.299951
0.134412,8,6.388,-11.826,-13.872,0.089484,-0.012,0.202563
0.151213,9,6.39,-8.521,-11.101,0.090063,-0.017397,0.130763
0.168015,10,6.209,-7.45,-9.748,0.085714,-0.016688,0.109693
0.184816,11,5.759,-2.639,-2.692,0.071267,-0.007284,0.020472
0.201618,12,-7.16,-9.833,-39.189,-0.186143,0.01653,0.145608
0.218419,13,-7.579,-12.75,-40.486,-0.193575,0.012807,0.200241
0.235221,14,-8.053,-13.091,-43.107,-0.203916,0.015297,0.202085
0.252022,15,-8.549,-13.359,-45.915,-0.215702,0.017484,0.202708
0.268823,16,1.77,-6.674,-0.683,-0.006514,-0.007153,0.091136
0.285625,17,1.525,-3.832,-0.95,-0.015341,-0.00348,0.029573
0.302427,18,-0.918,-8.697,-4.968,-0.061271,-0.006859,0.118689
0.319228,19,14.956,11.163,-45.947,0.224615,0.017828,-0.35387
0.33603,20,0.85,-6.297,-1.918,-0.028615,-0.002646,0.055754
0.352831,21,-1.719,11.109,-45.069,-0.135414,-0.029063,-0.345215
0.369632,22,-1.96,11.321,-45.056,-0.140436,-0.026808,-0.36155
0.386434,23,7.067,-7.332,-0.949,0.085632,-0.034482,0.032202
0.403236,24,0.576,-10.764,-6.414,-0.044446,-0.035994,0.096424
0.420037,25,-6.407,-15.958,-42.438,-0.181809,-0.009772,0.169157
0.436839,26,5.756,-10.27,-3.2,0.059569,-0.036219,0.042047
0.45364,27,6.798,-11.925,-1.504,0.081703,-0.036598,0.052853
0.470442,28,-0.961,-12.984,-6.585,-0.077494,-0.034364,0.070048
0.487243,29,-0.624,-8.299,-5.725,-0.077364,-0.028365,-0.040378
0.504045,30,1.083,-18.855,-12.435,-0.042997,-0.013432,0.144736
0.520846,31,4.886,-23.095,-21.921,0.030008,-0.034323,0.192108
0.537648,32,8.093,-16.125,-3.261,0.083123,-0.037455,0.037214
0.554449,33,-4.775,-28.215,-52.24,-0.177514,0.004989,0.260805
0.571251,34,-2.416,-25.876,-48.568,-0.139698,-0.012262,0.197583
0.588052,35,-5.316,-18.151,-29.314,-0.222071,-0.03431,0.044681
0.604854,36,4.712,-24.447,-11.469,-0.014045,-0.021757,0.136726
0.621655,37,9.803,-1.583,-32.767,0.040144,-0.031724,-0.388629
0.638457,38,6.173,-29.627,-20.371,0.0078,-0.032142,0.185339
0.655258,39,9.657,-3.37,-44.285,0.01848,-0.013493,-0.396627
0.67206,40,8.71,-31.801,-19.865,0.0369,-0.035774,0.179288
0.688862,41,8.0,-38.088,-32.994,0.017898,-0.021973,0.284217
0.705663,42,-0.498,-37.651,-57.285,-0.153963,0.012768,0.246448
