t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
0.0,0,1.905,-9.042,-13.039,-0.012452,-0.009615,0.074703
0.016802,1,1.909,-9.074,-13.058,-0.012464,-0.009637,0.07472
0.033603,2,1.916,-9.138,-13.097,-0.012489,-0.00968,0.074754
0.050405,3,1.927,-9.234,-13.154,-0.012524,-0.009744,0.074801
0.067206,4,1.941,-9.362,-13.231,-0.01257,-0.009829,0.074862
0.084007,5,1.959,-9.522,-13.327,-0.012626,-0.009935,0.074931
0.100809,6,1.981,-9.714,-13.442,-0.012689,-0.01006,0.075005
0.11761,7,2.006,-9.939,-13.576,-0.012758,-0.010204,0.075079
0.134412,8,2.035,-10.196,-13.731,-0.012831,-0.010366,0.075148
0.151213,9,2.068,-10.486,-13.904,-0.012906,-0.010546,0.075205
0.168015,10,2.104,-10.809,-14.097,-0.01298,-0.010741,0.075242
0.184816,11,2.144,-11.165,-14.31,-0.013051,-0.010952,0.075253
0.201618,12,2.187,-11.555,-14.543,-0.013116,-0.011177,0.075229
0.218419,13,2.234,-11.978,-14.795,-0.013173,-0.011415,0.075162
0.235221,14,2.285,-12.436,-15.067,-0.013219,-0.011664,0.07504
0.252022,15,2.339,-12.928,-15.359,-0.013252,-0.011924,0.074856
0.268823,16,2.396,-13.455,-15.671,-0.013268,-0.012193,0.074598
0.285625,17,2.457,-14.017,-16.003,-0.013266,-0.01247,0.074256
0.302427,18,2.521,-14.614,-16.354,-0.013244,-0.012753,0.073818
0.319228,19,2.587,-15.248,-16.726,-0.013198,-0.013043,0.073273
0.33603,20,2.657,-15.917,-17.117,-0.013127,-0.013336,0.07261
0.352831,21,2.729,-16.623,-17.527,-0.013029,-0.013633,0.071817
0.369632,22,2.803,-17.367,-17.956,-0.012903,-0.013932,0.070884
0.386434,23,2.88,-18.147,-18.405,-0.012747,-0.014232,0.069798
0.403236,24,2.958,-18.966,-18.872,-0.01256,-0.014533,0.06855
0.420037,25,3.038,-19.823,-19.358,-0.012342,-0.014833,0.067128
0.436839,26,3.12,-20.719,-19.862,-0.012093,-0.015133,0.065523
0.45364,27,3.202,-21.654,-20.383,-0.011811,-0.01543,0.063725
0.470442,28,3.284,-22.629,-20.921,-0.011497,-0.015726,0.061724
0.487243,29,3.367,-23.645,-21.477,-0.011153,-0.016019,0.059515
0.504045,30,3.449,-24.7,-22.048,-0.010777,-0.016308,0.057092
0.520846,31,3.53,-25.797,-22.635,-0.010372,-0.016595,0.054447
0.537648,32,3.61,-26.935,-23.236,-0.009939,-0.016879,0.051577
0.554449,33,3.688,-28.114,-23.852,-0.009479,-0.01716,0.04848
0.571251,34,3.764,-29.336,-24.482,-0.008993,-0.017438,0.045152
0.588052,35,3.837,-30.6,-25.124,-0.008484,-0.017713,0.041596
0.604854,36,3.907,-31.907,-25.778,-0.007954,-0.017987,0.037811
0.621655,37,3.973,-33.257,-26.444,-0.007404,-0.018258,0.033801
0.638457,38,4.035,-34.65,-27.12,-0.006837,-0.018529,0.029571
0.655258,39,4.093,-36.086,-27.805,-0.006256,-0.018799,0.025128
0.67206,40,4.144,-37.566,-28.5,-0.005662,-0.01907,0.020479
0.688862,41,4.191,-39.089,-29.202,-0.005058,-0.019342,0.015635
0.705663,42,4.231,-40.655,-29.912,-0.004447,-0.019617,0.010606
0.722465,43,4.264,-42.265,-30.628,-0.00383,-0.019895,0.005408
0.739266,44,4.291,-43.918,-31.35,-0.00321,-0.020177,5.3e-05
0.756068,45,4.31,-45.615,-32.077,-0.00259,-0.020464,-0.005442
0.772869,46,4.322,-47.354,-32.808,-0.00197,-0.020758,-0.011059
0.789671,47,4.325,-49.135,-33.543,-0.001354,-0.021059,-0.016778
0.806472,48,4.321,-50.959,-34.281,-0.000743,-0.021369,-0.02258
0.823274,49,4.308,-52.823,-35.021,-0.000139,-0.021688,-0.028446
0.840075,50,4.286,-54.729,-35.762,0.000457,-0.022018,-0.034351
0.856877,51,4.255,-56.675,-36.505,0.001043,-0.022358,-0.040275
0.873679,52,4.215,-58.659,-37.249,0.001617,-0.022712,-0.046195
0.89048,53,4.166,-60.683,-37.993,0.00218,-0.023077,-0.052086
0.907282,54,4.108,-62.743,-38.737,0.002729,-0.023457,-0.057927
0.924083,55,4.041,-64.84,-39.48,0.003264,-0.02385,-0.063695
0.940885,56,3.964,-66.972,-40.222,0.003784,-0.024257,-0.069368
0.957686,57,3.879,-69.138,-40.964,0.004288,-0.024678,-0.074922
0.974487,58,3.784,-71.336,-41.704,0.004777,-0.025114,-0.080338
0.991288,59,3.681,-73.565,-42.442,0.00525,-0.025563,-0.085595
1.008089,60,3.569,-75.824,-43.179,0.005706,-0.026026,-0.090673
1.02489,61,3.449,-78.11,-43.914,0.006146,-0.026503,-0.095555
1.041691,62,3.321,-80.423,-44.647,0.006569,-0.026992,-0.100224
1.058492,63,3.185,-82.761,-45.378,0.006975,-0.027492,-0.104665
1.075294,64,3.042,-85.122,-46.107,0.007365,-0.028003,-0.108864
1.092095,65,2.892,-87.504,-46.833,0.007738,-0.028523,-0.11281
1.108896,66,2.735,-89.905,-47.558,0.008094,-0.029051,-0.116492
1.125697,67,2.572,-92.324,-48.28,0.008434,-0.029585,-0.119902
1.142498,68,2.403,-94.758,-49.0,0.008757,-0.030124,-0.123034
1.159299,69,2.229,-97.206,-49.717,0.009064,-0.030665,-0.125882
1.1761,70,2.05,-99.667,-50.432,0.009355,-0.031208,-0.128442
1.192901,71,1.866,-102.137,-51.144,0.009631,-0.03175,-0.130715
1.209702,72,1.679,-104.616,-51.853,0.00989,-0.032288,-0.1327
1.226503,73,1.489,-107.101,-52.56,0.010134,-0.032821,-0.134399
1.243304,74,1.296,-109.591,-53.263,0.010362,-0.033346,-0.135816
1.260105,75,1.101,-112.084,-53.964,0.010575,-0.033861,-0.136955
1.276906,76,0.904,-114.579,-54.661,0.010772,-0.034364,-0.137822
1.293708,77,0.707,-117.073,-55.354,0.010955,-0.034853,-0.138426
1.310509,78,0.509,-119.565,-56.043,0.011122,-0.035325,-0.138774
1.32731,79,0.311,-122.054,-56.729,0.011275,-0.035778,-0.138877
1.344111,80,0.114,-124.539,-57.409,0.011412,-0.03621,-0.138745
1.360912,81,-0.082,-127.017,-58.085,0.011535,-0.036618,-0.138388
1.377713,82,-0.276,-129.488,-58.756,0.011643,-0.037002,-0.13782
1.394514,83,-0.468,-131.95,-59.42,0.011737,-0.037358,-0.137051
1.411315,84,-0.657,-134.403,-60.079,0.011817,-0.037685,-0.136096
1.428116,85,-0.843,-136.844,-60.732,0.011883,-0.037981,-0.134966
1.444917,86,-1.025,-139.274,-61.377,0.011934,-0.038246,-0.133675
1.461719,87,-1.202,-141.69,-62.015,0.011972,-0.038477,-0.132236
1.478519,88,-1.375,-144.093,-62.645,0.011997,-0.038674,-0.130662
1.495321,89,-1.543,-146.481,-63.267,0.012008,-0.038835,-0.128966
1.512121,90,-1.705,-148.853,-63.88,0.012006,-0.03896,-0.12716
1.528923,91,-1.861,-151.209,-64.484,0.011991,-0.039048,-0.125257
1.545724,92,-2.011,-153.547,-65.079,0.011963,-0.0391,-0.123269
1.562525,93,-2.154,-155.868,-65.663,0.011923,-0.039114,-0.121207
1.579326,94,-2.291,-158.171,-66.237,0.011871,-0.039092,-0.119083
1.596127,95,-2.42,-160.454,-66.801,0.011807,-0.039033,-0.116906
1.612928,96,-2.542,-162.717,-67.353,0.01173,-0.038938,-0.114688
1.629729,97,-2.657,-164.96,-67.894,0.011643,-0.038809,-0.112438
1.64653,98,-2.764,-167.181,-68.424,0.011544,-0.038645,-0.110164
1.663331,99,-2.863,-169.381,-68.942,0.011434,-0.038449,-0.107876
1.680132,100,-2.955,-171.559,-69.448,0.011313,-0.038223,-0.105581
1.696933,101,-3.039,-173.714,-69.943,0.011182,-0.037967,-0.103287
1.713735,102,-3.115,-175.845,-70.426,0.01104,-0.037684,-0.100999
1.730536,103,-3.183,-177.953,-70.898,0.010888,-0.037376,-0.098725
1.747337,104,-3.245,-180.035,-71.358,0.010727,-0.037046,-0.096471
1.764138,105,-3.298,-182.092,-71.807,0.010557,-0.036696,-0.09424
1.780939,106,-3.345,-184.124,-72.246,0.010379,-0.036329,-0.09204
1.79774,107,-3.384,-186.128,-72.673,0.010192,-0.035949,-0.089873
1.814541,108,-3.418,-188.106,-73.091,0.009997,-0.035557,-0.087744
1.831342,109,-3.444,-190.056,-73.499,0.009796,-0.035157,-0.085656
1.848143,110,-3.465,-191.978,-73.898,0.009587,-0.034754,-0.083614
1.864944,111,-3.481,-193.871,-74.289,0.009374,-0.034349,-0.081619
1.881745,112,-3.491,-195.735,-74.672,0.009155,-0.033947,-0.079674
1.898546,113,-3.497,-197.569,-75.048,0.008932,-0.03355,-0.077782
1.915347,114,-3.498,-199.373,-75.418,0.008705,-0.033164,-0.075944
1.932148,115,-3.496,-201.146,-75.782,0.008477,-0.032791,-0.074163
